Sr No,timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude,FIR
1766,01-03-2018 12:00,1,0,0,0,0,0,22.8514,75.5422,FIR407$
1767,01-03-2018 12:20,0,0,1,0,0,0,22.7411,75.8512,FIR1702$
1768,01-03-2018 17:20,0,0,1,0,0,0,22.7411,75.8512,FIR1051$
1769,01-03-2018 15:35,0,0,1,0,0,0,22.66215,75.9035,FIR1682$
1770,01-03-2018 22:35,0,0,1,0,0,0,22.7094,75.8779,FIR1846$
1771,01-03-2018 16:20,0,0,,0,0,0,22.5778,75.7796,FIR488$
1772,01-03-2018 17:30,0,0,1,0,0,0,22.5778,75.7796,FIR1492$
1773,01-03-2018 15:25,0,0,1,0,0,0,22.6854,75.6143,FIR364$
1774,01-03-2018 18:25,0,0,0,1,0,0,22.7115,75.8601,FIR1865$
1775,01-03-2018 20:45,0,0,0,1,0,0,22.6905,75.8191,FIR750$
1776,01-03-2018 11:45,0,0,0,1,0,0,22.6905,75.8191,FIR772$
1777,01-03-2018 19:50,0,0,0,0,1,0,22.7368,75.9086,FIR1074$
1778,01-03-2018 15:30,0,0,0,0,1,0,22.7462,75.8682,FIR647$
1779,01-03-2018 16:05,0,0,0,0,1,0,22.7571,75.8822,FIR414$
1780,01-03-2018 15:15,0,1,0,0,0,0,22.713,75.8236,FIR1510$
1781,01-03-2018 15:20,0,1,0,0,0,0,22.713,75.8236,FIR660$
1782,01-03-2018 22:20,0,0,0,1,0,0,22.7373,75.8849,FIR295$
1783,01-03-2018 22:30,1,0,0,0,0,0,22.7406,75.8509,FIR71$
1784,01-03-2018 18:25,0,0,0,1,0,0,22.7115,75.8601,FIR1749$
1785,01-03-2018 08:55,1,0,0,0,0,0,22.7115,75.8601,FIR1814$
1786,01-03-2018 14:20,1,0,0,0,0,0,22.7571,75.8822,FIR1375$
1787,01-03-2018 00:55,0,0,,0,0,0,22.72,75.8437,FIR521$
1788,01-03-2018 18:35,0,0,0,1,0,0,22.7269,75.8516,FIR84$
1789,01-03-2018 12:05,1,0,0,0,0,0,22.6905,75.8191,FIR710$
1790,03-03-2018 20:10,,0,0,0,0,0,22.7177,75.8647,FIR242$
1791,03-03-2018 20:05,1,0,0,0,0,0,22.7182,75.8749,FIR1690$
1792,03-03-2018 19:45,1,0,0,0,0,0,22.7533,75.8937,FIR1414$
1793,03-03-2018 15:30,,0,0,0,0,0,22.7406,75.8509,FIR791$
1794,03-03-2018 16:00,1,0,0,0,0,0,22.7406,75.8509,FIR1617$
1795,03-03-2018 13:40,0,0,1,0,0,0,22.7244,75.8839,FIR459$
1796,03-03-2018 17:40,0,0,1,0,0,0,22.7152,75.87,FIR499$
1797,03-03-2018 12:50,0,0,1,0,0,0,22.66215,75.9035,FIR1369$
1798,03-03-2018 13:00,0,0,1,0,0,0,22.7406,75.8509,FIR1668$
1799,03-03-2018 23:10,0,0,1,0,0,0,22.713,75.8236,FIR298$
1800,03-03-2018 20:40,0,0,1,0,0,0,22.6854,75.6143,FIR1278$
1801,03-03-2018 04:10,0,0,0,1,0,0,22.7853,75.9057,FIR807$
1802,03-03-2018 20:05,0,0,0,1,0,0,22.7462,75.8682,FIR1132$
1803,03-03-2018 00:15,0,0,0,1,0,0,22.72,75.8437,FIR925$
1804,03-03-2018 22:50,0,0,0,1,0,0,22.713,75.8236,FIR1175$
1805,03-03-2018 23:40,0,0,0,0,1,0,22.7368,75.9086,FIR281$
1806,03-03-2018 14:10,0,0,0,0,1,0,22.7278,75.8046,FIR617$
1807,03-03-2018 22:50,0,0,1,0,0,0,22.7368,75.9086,FIR1413$
1808,03-03-2018 03:15,0,0,1,0,0,0,22.5524,75.7565,FIR139$
1809,03-03-2018 16:10,0,0,1,0,0,0,22.814795,75.935097,FIR426$
1810,03-03-2018 17:50,0,0,1,0,0,0,22.8514,75.5422,FIR972$
1811,03-03-2018 21:20,0,0,0,1,0,0,22.7462,75.8682,FIR169$
1812,03-03-2018 11:20,0,0,1,0,0,0,22.7406,75.8509,FIR1053$
1813,03-03-2018 14:00,0,0,0,1,0,0,22.7406,75.8509,FIR118$
1814,04-03-2018 09:00,0,0,0,1,0,0,22.724,75.8621,FIR11$
1815,04-03-2018 19:05,0,0,1,0,0,0,22.7224,75.8743,FIR1842$
1816,04-03-2018 14:30,0,0,1,0,0,0,22.7096,,FIR1361$
1817,04-03-2018 23:05,0,0,0,1,0,0,22.7145,75.8802,FIR141$
1818,04-03-2018 22:00,0,0,0,1,0,0,22.7007,75.8672,FIR626$
1819,04-03-2018 18:30,0,0,0,1,0,0,22.7428,75.9034,FIR856$
1820,04-03-2018 22:00,0,0,0,1,0,0,22.7073,75.9131,FIR1700$
1821,04-03-2018 13:40,0,0,1,0,0,0,22.7093,75.9014,FIR511$
1822,04-03-2018 18:00,1,0,0,0,0,0,22.706,75.8605,FIR460$
1823,04-03-2018 13:30,0,0,0,1,0,0,22.6962,75.8875,FIR33$
1824,04-03-2018 21:30,0,0,1,0,0,0,22.6474,75.9031,FIR588$
1825,04-03-2018 22:00,0,0,0,1,0,0,22.7048,75.8366,FIR1539$
1826,04-03-2018 08:00,0,0,1,0,0,0,22.68883,75.83114,FIR938$
1827,04-03-2018 20:00,0,0,0,1,0,0,22.79283,75.738,FIR625$
1828,04-03-2018 08:30,0,0,0,1,0,0,22.53765,75.83305,FIR1140$
1829,04-03-2018 17:00,0,0,0,0,0,,22.539,75.911397,FIR125$
1830,04-03-2018 21:00,0,0,1,0,0,0,22.72522,75.8713,FIR1454$
